path_signal,path_target,is_valid
"./data_examples/test.h5/HV110_P0500510001/X/(64, 64)","./data_examples/test.h5/HV110_P0500510001/y/(64, 64)",0
"./data_examples/test.h5/HV110_P0500510001/X/(64, 256)","./data_examples/test.h5/HV110_P0500510001/y/(64, 256)",1
"./data_examples/test.h5/HV110_P0500510001/X/(256, 192)","./data_examples/test.h5/HV110_P0500510001/y/(256, 192)",0
"./data_examples/test.h5/HV110_P0500510000/X/(384, 192)","./data_examples/test.h5/HV110_P0500510000/y/(384, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(192, 448)","./data_examples/test.h5/HV110_P0500510001/y/(192, 448)",1
"./data_examples/test.h5/HV110_P0500510000/X/(320, 256)","./data_examples/test.h5/HV110_P0500510000/y/(320, 256)",0
"./data_examples/test.h5/HV110_P0500510001/X/(320, 64)","./data_examples/test.h5/HV110_P0500510001/y/(320, 64)",1
"./data_examples/test.h5/HV110_P0500510000/X/(256, 192)","./data_examples/test.h5/HV110_P0500510000/y/(256, 192)",0
"./data_examples/test.h5/HV110_P0500510001/X/(320, 384)","./data_examples/test.h5/HV110_P0500510001/y/(320, 384)",0
"./data_examples/test.h5/HV110_P0500510000/X/(320, 64)","./data_examples/test.h5/HV110_P0500510000/y/(320, 64)",0
"./data_examples/test.h5/HV110_P0500510001/X/(128, 384)","./data_examples/test.h5/HV110_P0500510001/y/(128, 384)",0
"./data_examples/test.h5/HV110_P0500510000/X/(320, 384)","./data_examples/test.h5/HV110_P0500510000/y/(320, 384)",0
"./data_examples/test.h5/HV110_P0500510001/X/(384, 448)","./data_examples/test.h5/HV110_P0500510001/y/(384, 448)",0
"./data_examples/test.h5/HV110_P0500510000/X/(384, 320)","./data_examples/test.h5/HV110_P0500510000/y/(384, 320)",1
"./data_examples/test.h5/HV110_P0500510000/X/(0, 64)","./data_examples/test.h5/HV110_P0500510000/y/(0, 64)",0
"./data_examples/test.h5/HV110_P0500510000/X/(128, 64)","./data_examples/test.h5/HV110_P0500510000/y/(128, 64)",0
